raterID;attractiveness;targetID;sex;ethnicity;zAge;zHeight;zBMI;sqzAge;sqzHeight;sqzBMI;zWCptsPB;zAttractiveness;zMouthCurv;zfWHR;meanAthlAttr
R123;4;F01;female;Cauc;-1.57;-0.7;-0.52;2.45;0.49;0.27;-0.9;0.5068;2.29;1.58;1.0727
R124;4;F01;female;Cauc;-1.57;-0.7;-0.52;2.45;0.49;0.27;-0.9;0.5068;2.29;1.58;1.0727
R125;5;F01;female;Cauc;-1.57;-0.7;-0.52;2.45;0.49;0.27;-0.9;1.1918;2.29;1.58;1.0727
R130;5;F01;female;Cauc;-1.57;-0.7;-0.52;2.45;0.49;0.27;-0.9;1.1918;2.29;1.58;1.0727
R131;5;F01;female;Cauc;-1.57;-0.7;-0.52;2.45;0.49;0.27;-0.9;1.1918;2.29;1.58;1.0727
R137;6;F01;female;Cauc;-1.57;-0.7;-0.52;2.45;0.49;0.27;-0.9;1.8767;2.29;1.58;1.0727
R138;6;F01;female;Cauc;-1.57;-0.7;-0.52;2.45;0.49;0.27;-0.9;1.8767;2.29;1.58;1.0727
R143;3;F01;female;Cauc;-1.57;-0.7;-0.52;2.45;0.49;0.27;-0.9;-0.1781;2.29;1.58;1.0727
R146;4;F01;female;Cauc;-1.57;-0.7;-0.52;2.45;0.49;0.27;-0.9;0.5068;2.29;1.58;1.0727
R149;2;F01;female;Cauc;-1.57;-0.7;-0.52;2.45;0.49;0.27;-0.9;-0.863;2.29;1.58;1.0727
R150;6;F01;female;Cauc;-1.57;-0.7;-0.52;2.45;0.49;0.27;-0.9;1.8767;2.29;1.58;1.0727
R152;6;F01;female;Cauc;-1.57;-0.7;-0.52;2.45;0.49;0.27;-0.9;1.8767;2.29;1.58;1.0727
R153;5;F01;female;Cauc;-1.57;-0.7;-0.52;2.45;0.49;0.27;-0.9;1.1918;2.29;1.58;1.0727
R155;7;F01;female;Cauc;-1.57;-0.7;-0.52;2.45;0.49;0.27;-0.9;2.5616;2.29;1.58;1.0727
R156;6;F01;female;Cauc;-1.57;-0.7;-0.52;2.45;0.49;0.27;-0.9;1.8767;2.29;1.58;1.0727
R158;6;F01;female;Cauc;-1.57;-0.7;-0.52;2.45;0.49;0.27;-0.9;1.8767;2.29;1.58;1.0727
R159;4;F01;female;Cauc;-1.57;-0.7;-0.52;2.45;0.49;0.27;-0.9;0.5068;2.29;1.58;1.0727
R165;6;F01;female;Cauc;-1.57;-0.7;-0.52;2.45;0.49;0.27;-0.9;1.8767;2.29;1.58;1.0727
R169;4;F01;female;Cauc;-1.57;-0.7;-0.52;2.45;0.49;0.27;-0.9;0.5068;2.29;1.58;1.0727
R170;6;F01;female;Cauc;-1.57;-0.7;-0.52;2.45;0.49;0.27;-0.9;1.8767;2.29;1.58;1.0727
R171;1;F01;female;Cauc;-1.57;-0.7;-0.52;2.45;0.49;0.27;-0.9;-1.5479;2.29;1.58;1.0727
R172;5;F01;female;Cauc;-1.57;-0.7;-0.52;2.45;0.49;0.27;-0.9;1.1918;2.29;1.58;1.0727
R173;5;F01;female;Cauc;-1.57;-0.7;-0.52;2.45;0.49;0.27;-0.9;1.1918;2.29;1.58;1.0727
R123;2;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;-0.863;1.33;-1.37;-0.121
R124;4;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;0.5068;1.33;-1.37;-0.121
R125;3;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;-0.1781;1.33;-1.37;-0.121
R127;4;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;0.5068;1.33;-1.37;-0.121
R130;4;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;0.5068;1.33;-1.37;-0.121
R131;4;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;0.5068;1.33;-1.37;-0.121
R137;4;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;0.5068;1.33;-1.37;-0.121
R138;3;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;-0.1781;1.33;-1.37;-0.121
R143;5;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;1.1918;1.33;-1.37;-0.121
R146;3;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;-0.1781;1.33;-1.37;-0.121
R149;1;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;-1.5479;1.33;-1.37;-0.121
R150;4;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;0.5068;1.33;-1.37;-0.121
R152;4;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;0.5068;1.33;-1.37;-0.121
R153;4;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;0.5068;1.33;-1.37;-0.121
R155;3;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;-0.1781;1.33;-1.37;-0.121
R156;4;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;0.5068;1.33;-1.37;-0.121
R158;2;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;-0.863;1.33;-1.37;-0.121
R159;3;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;-0.1781;1.33;-1.37;-0.121
R165;1;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;-1.5479;1.33;-1.37;-0.121
R169;1;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;-1.5479;1.33;-1.37;-0.121
R170;3;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;-0.1781;1.33;-1.37;-0.121
R171;1;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;-1.5479;1.33;-1.37;-0.121
R172;4;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;0.5068;1.33;-1.37;-0.121
R173;3;F02;female;Cauc;-0.88;0.23;-0.61;0.77;0.05;0.37;-0.91;-0.1781;1.33;-1.37;-0.121
R123;4;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;0.5068;0.62;1.16;0.6495
R124;6;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;1.8767;0.62;1.16;0.6495
R125;5;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;1.1918;0.62;1.16;0.6495
R127;6;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;1.8767;0.62;1.16;0.6495
R130;3;F03;female;Cauc;-0.94;1.16;-0.71;0.88;1.35;0.5;-0.79;-0.1781;0.62;1.16;0.6495
