name;symbol;yr;frate
Afghanistan;AFG;2003;7.14
Afghanistan;AFG;2018;4.33
Albania;ALB;2003;1.9
Albania;ALB;2018;1.71
Algeria;DZA;2003;2.41
Algeria;DZA;2018;2.64
Angola;AGO;2003;6.54
Angola;AGO;2018;5.55
Antigua and Barbuda;ATG;2003;2.27
Antigua and Barbuda;ATG;2018;2.03
Argentina;ARG;2003;2.5
Argentina;ARG;2018;2.26
Armenia;ARM;2003;1.4
Armenia;ARM;2018;1.6
Aruba;ABW;2003;1.81
Aruba;ABW;2018;1.8
Australia;AUS;2003;1.79
Australia;AUS;2018;1.83
Austria;AUT;2003;1.38
Austria;AUT;2018;1.52
Azerbaijan;AZE;2003;1.87
Azerbaijan;AZE;2018;2.04
Bahamas;BHS;2003;1.89
Bahamas;BHS;2018;1.75
Bahrain;BHR;2003;2.6
Bahrain;BHR;2018;1.99
Bangladesh;BGD;2003;2.8
Bangladesh;BGD;2018;2.05
Barbados;BRB;2003;1.75
Barbados;BRB;2018;1.8
Belarus;BLR;2003;1.26
Belarus;BLR;2018;1.72
Belgium;BEL;2003;1.7
Belgium;BEL;2018;1.8
Belize;BLZ;2003;3.28
Belize;BLZ;2018;2.44
Benin;BEN;2003;5.75
Benin;BEN;2018;4.84
Bhutan;BTN;2003;3.09
Bhutan;BTN;2018;1.99
Bolivia;BOL;2003;3.77
Bolivia;BOL;2018;2.8
Bosnia and Herzegovina;BIH;2003;1.33
Bosnia and Herzegovina;BIH;2018;1.39
Botswana;BWA;2003;3.11
Botswana;BWA;2018;2.64
Brazil;BRA;2003;2.1
Brazil;BRA;2018;1.7
Brunei;BRN;2003;1.95
Brunei;BRN;2018;1.85
Bulgaria;BGR;2003;1.26
Bulgaria;BGR;2018;1.59
Burkina Faso;BFA;2003;6.4
Burkina Faso;BFA;2018;5.19
Burundi;BDI;2003;6.82
Burundi;BDI;2018;5.53
Cambodia;KHM;2003;3.41
Cambodia;KHM;2018;2.5
Cameroon;CMR;2003;5.43
Cameroon;CMR;2018;4.57
Canada;CAN;2003;1.53
