kraj;iso;y2013;y1980;gdp2013
Afghanistan;AFG;12.33;18.12;1848.7
Albania;ALB;61.96;15.28;10492.8
Algeria;DZA;21.07;10.65;13253.6
Angola;AGO;36.13;14.41;6188.0
Antigua and Barbuda;ATG;85.07;40.68;18823.7
China mainland;;61.05;13.62;15174.1
Argentina;ARG;107.24;110.71;19482.1
Australia;AUS;116.23;110.66;43118.0
Austria;AUT;90.87;94.76;44301.1
Bahamas;BHS;104.2;98.71;28871.3
Bangladesh;BGD;4.11;2.52;2835.7
Barbados;BRB;68.13;79.04;16409.9
Belize;BLZ;50.48;38.75;7856.3
Benin;BEN;25.19;11.23;1934.6
Bermuda;BMU;96.97;117.86;50669.3
Bolivia;BOL;66.38;41.29;6090.6
Botswana;BWA;28.94;14.34;15568.2
Brazil;BRA;97.58;41;15432.8
Brunei;BRN;85.99;47.52;79070.2
Bulgaria;BGR;53.72;60.52;15997.3
Burkina Faso;BFA;11.72;7.66;1562.3
Cambodia;KHM;13.21;3.67;2964.1
Cameroon;CMR;13.35;13.35;3100.1
Canada;CAN;90.75;97.77;42339.3
China mainland;;61.05;13.62;14768.9
Central African Republic;CAF;29.45;19.37;593.0
China mainland;;61.05;13.62;22744.5
Chad;TCD;12.01;13.2;2007.0
Chile;CHL;85.69;31.5;21998.3
China;CHN;61.82;14.58;11951.2
Colombia;COL;50.79;29.39;12296.2
Congo;COG;29.38;12.34;5317.0
Costa Rica;CRI;49.99;30.23;14035.2
Cote d'Ivoire;CIV;15.01;21.46;2879.8
Cyprus;CYP;75.58;49.84;29879.5
Denmark;DNK;81.87;79.07;44564.4
Dominica;DMA;51.94;28.54;9871.6
Dominican Republic;DOM;47.2;24.36;11907.2
China mainland;;61.05;13.62;7734.6
China mainland;;61.05;13.62;13897.3
China mainland;;61.05;13.62;10994.4
China mainland;;61.05;13.62;10878.2
Ecuador;ECU;53.98;20.96;10665.4
Egypt;EGY;30.47;12.72;9814.2
El Salvador;SLV;29.04;13.55;6789.8
China mainland;;61.05;13.62;36773.1
China mainland;;61.05;13.62;28078.6
China mainland;;61.05;13.62;18796.8
China mainland;;61.05;13.62;18335.3
China mainland;;61.05;13.62;34495.5
Fiji;FJI;39.59;28.02;7839.8
Finland;FIN;77.53;57.79;39428.3
China mainland;;61.05;13.62;3965.3
France;FRA;86.76;100.87;37350.2
Gabon;GAB;70.81;55.09;16503.0
Gambia;GMB;6.41;10.18;1584.7
Germany;DEU;85.94;94.96;42914.4
Ghana;GHA;17.44;10.72;3807.3
Greece;GRC;76.6;64.88;23746.0
Grenada;GRD;60.91;33.75;11262.6
Guatemala;GTM;27.39;10.75;7005.0
Guinea;GIN;10.39;4.94;1711.7
Guinea-Bissau;GNB;16.33;13.9;1421.3
Guyana;GUY;43.79;18.86;6696.7
Haiti;HTI;17.99;11.16;1629.3
China mainland;;61.05;13.62;1974.1
China mainland;;61.05;13.62;40567.2
Honduras;HND;34;13.99;4177.5
Hungary;HUN;65.04;108.92;23119.0
China mainland;;61.05;13.62;10905.7
China mainland;;61.05;13.62;9010.1
