"isco08";"unit";"geo";"time";"values";"year"
"OC221";"HAB_P";"BE";"2021-01-01";6093.8;"2021"
"OC221";"HAB_P";"EE";"2021-01-01";8471.77;"2021"
"OC221";"HAB_P";"LV";"2021-01-01";4423.42;"2021"
"OC221";"NR";"BE";"2021-01-01";1898;"2021"
"OC221";"NR";"EE";"2021-01-01";157;"2021"
"OC221";"NR";"LV";"2021-01-01";428;"2021"
"OC221";"P_HTHAB";"BE";"2021-01-01";16.41;"2021"
"OC221";"P_HTHAB";"EE";"2021-01-01";11.8;"2021"
"OC221";"P_HTHAB";"LV";"2021-01-01";22.61;"2021"
"OC2221";"HAB_P";"EE";"2021-01-01";3664.1;"2021"
"OC2221";"NR";"EE";"2021-01-01";363;"2021"
"OC2221";"P_HTHAB";"EE";"2021-01-01";27.29;"2021"
"OC2221_3221";"HAB_P";"BE";"2021-01-01";2132.78;"2021"
"OC2221_3221";"HAB_P";"EE";"2021-01-01";3664.1;"2021"
"OC2221_3221";"HAB_P";"LV";"2021-01-01";3748.96;"2021"
"OC2221_3221";"NR";"BE";"2021-01-01";5423;"2021"
"OC2221_3221";"NR";"EE";"2021-01-01";363;"2021"
"OC2221_3221";"NR";"LV";"2021-01-01";505;"2021"
"OC2221_3221";"P_HTHAB";"BE";"2021-01-01";46.89;"2021"
"OC2221_3221";"P_HTHAB";"EE";"2021-01-01";27.29;"2021"
"OC2221_3221";"P_HTHAB";"LV";"2021-01-01";26.67;"2021"
"OC2222_3222";"HAB_P";"BE";"2021-01-01";19149.07;"2021"
"OC2222_3222";"HAB_P";"EE";"2021-01-01";47502.43;"2021"
"OC2222_3222";"HAB_P";"ES";"2021-01-01";127747.23;"2021"
"OC2222_3222";"HAB_P";"LV";"2021-01-01";54092.09;"2021"
"OC2222_3222";"NR";"BE";"2021-01-01";604;"2021"
"OC2222_3222";"NR";"EE";"2021-01-01";28;"2021"
"OC2222_3222";"NR";"ES";"2021-01-01";371;"2021"
"OC2222_3222";"NR";"LV";"2021-01-01";35;"2021"
"OC2222_3222";"P_HTHAB";"BE";"2021-01-01";5.22;"2021"
"OC2222_3222";"P_HTHAB";"EE";"2021-01-01";2.11;"2021"
"OC2222_3222";"P_HTHAB";"ES";"2021-01-01";0.78;"2021"
"OC2222_3222";"P_HTHAB";"LV";"2021-01-01";1.85;"2021"
"OC2261";"HAB_P";"BE";"2021-01-01";41455.34;"2021"
"OC2261";"HAB_P";"EE";"2021-01-01";53202.72;"2021"
"OC2261";"HAB_P";"LV";"2021-01-01";31036.44;"2021"
"OC2261";"NR";"BE";"2021-01-01";279;"2021"
"OC2261";"NR";"EE";"2021-01-01";25;"2021"
"OC2261";"NR";"LV";"2021-01-01";61;"2021"
"OC2261";"P_HTHAB";"BE";"2021-01-01";2.41;"2021"
"OC2261";"P_HTHAB";"EE";"2021-01-01";1.88;"2021"
"OC2261";"P_HTHAB";"LV";"2021-01-01";3.22;"2021"
"OC2262";"HAB_P";"BE";"2021-01-01";4974.64;"2021"
"OC2262";"HAB_P";"EE";"2021-01-01";33251.7;"2021"
"OC2262";"HAB_P";"LV";"2021-01-01";37122.02;"2021"
"OC2262";"NR";"BE";"2021-01-01";2325;"2021"
"OC2262";"NR";"EE";"2021-01-01";40;"2021"
"OC2262";"NR";"LV";"2021-01-01";51;"2021"
"OC2262";"P_HTHAB";"BE";"2021-01-01";20.1;"2021"
"OC2262";"P_HTHAB";"EE";"2021-01-01";3.01;"2021"
"OC2262";"P_HTHAB";"LV";"2021-01-01";2.69;"2021"
"OC3221";"NR";"EE";"2021-01-01";0;"2021"
"OC3221";"P_HTHAB";"EE";"2021-01-01";0;"2021"
"OC221";"HAB_P";"AT";"2020-01-01";6923.03;"2020"
"OC221";"HAB_P";"BE";"2020-01-01";6022.03;"2020"
"OC221";"HAB_P";"BG";"2020-01-01";4903.83;"2020"
"OC221";"HAB_P";"CH";"2020-01-01";7745.79;"2020"
"OC221";"HAB_P";"CZ";"2020-01-01";6040.57;"2020"
"OC221";"HAB_P";"DE";"2020-01-01";8310.27;"2020"
"OC221";"HAB_P";"EE";"2020-01-01";9634.22;"2020"
"OC221";"HAB_P";"ES";"2020-01-01";7176.28;"2020"
"OC221";"HAB_P";"FI";"2020-01-01";8204.07;"2020"
"OC221";"HAB_P";"HU";"2020-01-01";6364.33;"2020"
"OC221";"HAB_P";"IE";"2020-01-01";3931.92;"2020"
"OC221";"HAB_P";"IT";"2020-01-01";5361.13;"2020"
"OC221";"HAB_P";"LT";"2020-01-01";4753.21;"2020"
"OC221";"HAB_P";"LV";"2020-01-01";4186.01;"2020"
"OC221";"HAB_P";"ME";"2020-01-01";18273.71;"2020"
"OC221";"HAB_P";"MK";"2020-01-01";7509.17;"2020"
"OC221";"HAB_P";"MT";"2020-01-01";3845.76;"2020"
"OC221";"HAB_P";"NL";"2020-01-01";6976.6;"2020"
"OC221";"HAB_P";"NO";"2020-01-01";9164.35;"2020"
"OC221";"HAB_P";"PT";"2020-01-01";6360.15;"2020"
"OC221";"HAB_P";"RO";"2020-01-01";3800.58;"2020"
"OC221";"HAB_P";"RS";"2020-01-01";6004.46;"2020"
"OC221";"HAB_P";"SE";"2020-01-01";7369;"2020"
"OC221";"HAB_P";"SI";"2020-01-01";8796.73;"2020"
"OC221";"HAB_P";"SK";"2020-01-01";5179.15;"2020"
"OC221";"HAB_P";"TR";"2020-01-01";7001.82;"2020"
"OC221";"NR";"AT";"2020-01-01";1288;"2020"
"OC221";"NR";"BE";"2020-01-01";1917;"2020"
"OC221";"NR";"BG";"2020-01-01";1414;"2020"
"OC221";"NR";"CH";"2020-01-01";1115;"2020"
"OC221";"NR";"CZ";"2020-01-01";1771;"2020"
"OC221";"NR";"DE";"2020-01-01";10007;"2020"
"OC221";"NR";"EE";"2020-01-01";138;"2020"
"OC221";"NR";"ES";"2020-01-01";6600;"2020"
"OC221";"NR";"EU27_2020";"2020-01-01";64888;"2020"
"OC221";"NR";"FI";"2020-01-01";674;"2020"
"OC221";"NR";"HU";"2020-01-01";1532;"2020"
"OC221";"NR";"IE";"2020-01-01";1268;"2020"
"OC221";"NR";"IT";"2020-01-01";11089;"2020"
"OC221";"NR";"LI";"2020-01-01";0;"2020"
"OC221";"NR";"LT";"2020-01-01";588;"2020"
"OC221";"NR";"LU";"2020-01-01";0;"2020"
"OC221";"NR";"LV";"2020-01-01";454;"2020"
"OC221";"NR";"ME";"2020-01-01";34;"2020"
"OC221";"NR";"MK";"2020-01-01";276;"2020"
"OC221";"NR";"MT";"2020-01-01";134;"2020"
"OC221";"NR";"NL";"2020-01-01";2500;"2020"
"OC221";"NR";"NO";"2020-01-01";587;"2020"
"OC221";"NR";"PT";"2020-01-01";1619;"2020"
"OC221";"NR";"RO";"2020-01-01";5067;"2020"
"OC221";"NR";"RS";"2020-01-01";1149;"2020"
"OC221";"NR";"SE";"2020-01-01";1405;"2020"
"OC221";"NR";"SI";"2020-01-01";239;"2020"
"OC221";"NR";"SK";"2020-01-01";1054;"2020"
"OC221";"NR";"TR";"2020-01-01";11909;"2020"
"OC221";"P_HTHAB";"AT";"2020-01-01";14.44;"2020"
"OC221";"P_HTHAB";"BE";"2020-01-01";16.61;"2020"
"OC221";"P_HTHAB";"BG";"2020-01-01";20.39;"2020"
"OC221";"P_HTHAB";"CH";"2020-01-01";12.91;"2020"
"OC221";"P_HTHAB";"CZ";"2020-01-01";16.55;"2020"
"OC221";"P_HTHAB";"DE";"2020-01-01";12.03;"2020"
"OC221";"P_HTHAB";"EE";"2020-01-01";10.38;"2020"
"OC221";"P_HTHAB";"ES";"2020-01-01";13.93;"2020"
"OC221";"P_HTHAB";"FI";"2020-01-01";12.19;"2020"
"OC221";"P_HTHAB";"HU";"2020-01-01";15.71;"2020"
"OC221";"P_HTHAB";"IE";"2020-01-01";25.43;"2020"
"OC221";"P_HTHAB";"IT";"2020-01-01";18.65;"2020"
"OC221";"P_HTHAB";"LI";"2020-01-01";0;"2020"
"OC221";"P_HTHAB";"LT";"2020-01-01";21.04;"2020"
"OC221";"P_HTHAB";"LU";"2020-01-01";0;"2020"
"OC221";"P_HTHAB";"LV";"2020-01-01";23.89;"2020"
"OC221";"P_HTHAB";"ME";"2020-01-01";5.47;"2020"
"OC221";"P_HTHAB";"MK";"2020-01-01";13.32;"2020"
"OC221";"P_HTHAB";"MT";"2020-01-01";26;"2020"
"OC221";"P_HTHAB";"NL";"2020-01-01";14.33;"2020"
"OC221";"P_HTHAB";"NO";"2020-01-01";10.91;"2020"
"OC221";"P_HTHAB";"PT";"2020-01-01";15.72;"2020"
"OC221";"P_HTHAB";"RO";"2020-01-01";26.31;"2020"
"OC221";"P_HTHAB";"RS";"2020-01-01";16.65;"2020"
"OC221";"P_HTHAB";"SE";"2020-01-01";13.57;"2020"
"OC221";"P_HTHAB";"SI";"2020-01-01";11.37;"2020"
"OC221";"P_HTHAB";"SK";"2020-01-01";19.31;"2020"
"OC221";"P_HTHAB";"TR";"2020-01-01";14.28;"2020"
"OC2221";"HAB_P";"AT";"2020-01-01";3132.02;"2020"
"OC2221";"HAB_P";"BG";"2020-01-01";14415.83;"2020"
"OC2221";"HAB_P";"CH";"2020-01-01";2327.29;"2020"
"OC2221";"HAB_P";"CZ";"2020-01-01";8116.74;"2020"
"OC2221";"HAB_P";"DE";"2020-01-01";2319.69;"2020"
"OC2221";"HAB_P";"EE";"2020-01-01";3622.68;"2020"
"OC2221";"HAB_P";"ES";"2020-01-01";4473.73;"2020"
"OC2221";"HAB_P";"FR";"2020-01-01";2636.35;"2020"
"OC2221";"HAB_P";"HU";"2020-01-01";3174.91;"2020"
"OC2221";"HAB_P";"IE";"2020-01-01";3250.11;"2020"
"OC2221";"HAB_P";"IT";"2020-01-01";5949.71;"2020"
"OC2221";"HAB_P";"LT";"2020-01-01";3672.65;"2020"
"OC2221";"HAB_P";"LU";"2020-01-01";9270.87;"2020"
"OC2221";"HAB_P";"ME";"2020-01-01";14793;"2020"
"OC2221";"HAB_P";"MK";"2020-01-01";13458;"2020"
"OC2221";"HAB_P";"MT";"2020-01-01";3123.22;"2020"
"OC2221";"HAB_P";"NL";"2020-01-01";3910.65;"2020"
"OC2221";"HAB_P";"NO";"2020-01-01";1322.06;"2020"
"OC2221";"HAB_P";"PT";"2020-01-01";3860.92;"2020"
"OC2221";"HAB_P";"RO";"2020-01-01";15542.79;"2020"
"OC2221";"HAB_P";"RS";"2020-01-01";6323.67;"2020"
"OC2221";"HAB_P";"SE";"2020-01-01";2299.74;"2020"
"OC2221";"HAB_P";"TR";"2020-01-01";5472.51;"2020"
"OC2221";"NR";"AT";"2020-01-01";2847;"2020"
"OC2221";"NR";"BG";"2020-01-01";481;"2020"
"OC2221";"NR";"CH";"2020-01-01";3711;"2020"
"OC2221";"NR";"CZ";"2020-01-01";1318;"2020"
"OC2221";"NR";"DE";"2020-01-01";35850;"2020"
"OC2221";"NR";"EE";"2020-01-01";367;"2020"
"OC2221";"NR";"ES";"2020-01-01";10587;"2020"
"OC2221";"NR";"FR";"2020-01-01";25558;"2020"
"OC2221";"NR";"HU";"2020-01-01";3071;"2020"
"OC2221";"NR";"IE";"2020-01-01";1534;"2020"
"OC2221";"NR";"IT";"2020-01-01";9992;"2020"
"OC2221";"NR";"LI";"2020-01-01";0;"2020"
"OC2221";"NR";"LT";"2020-01-01";761;"2020"
"OC2221";"NR";"LU";"2020-01-01";68;"2020"
"OC2221";"NR";"ME";"2020-01-01";42;"2020"
"OC2221";"NR";"MK";"2020-01-01";154;"2020"
"OC2221";"NR";"MT";"2020-01-01";165;"2020"
"OC2221";"NR";"NL";"2020-01-01";4460;"2020"
"OC2221";"NR";"NO";"2020-01-01";4069;"2020"
"OC2221";"NR";"PT";"2020-01-01";2667;"2020"
"OC2221";"NR";"RO";"2020-01-01";1239;"2020"
"OC2221";"NR";"RS";"2020-01-01";1091;"2020"
"OC2221";"NR";"SE";"2020-01-01";4502;"2020"
"OC2221";"NR";"TR";"2020-01-01";15237;"2020"
"OC2221";"P_HTHAB";"AT";"2020-01-01";31.93;"2020"
"OC2221";"P_HTHAB";"BG";"2020-01-01";6.94;"2020"
"OC2221";"P_HTHAB";"CH";"2020-01-01";42.97;"2020"
"OC2221";"P_HTHAB";"CZ";"2020-01-01";12.32;"2020"
"OC2221";"P_HTHAB";"DE";"2020-01-01";43.11;"2020"
"OC2221";"P_HTHAB";"EE";"2020-01-01";27.6;"2020"
"OC2221";"P_HTHAB";"ES";"2020-01-01";22.35;"2020"
"OC2221";"P_HTHAB";"FR";"2020-01-01";37.93;"2020"
"OC2221";"P_HTHAB";"HU";"2020-01-01";31.5;"2020"
"OC2221";"P_HTHAB";"IE";"2020-01-01";30.77;"2020"
"OC2221";"P_HTHAB";"IT";"2020-01-01";16.81;"2020"
"OC2221";"P_HTHAB";"LI";"2020-01-01";0;"2020"
"OC2221";"P_HTHAB";"LT";"2020-01-01";27.23;"2020"
"OC2221";"P_HTHAB";"LU";"2020-01-01";10.79;"2020"
"OC2221";"P_HTHAB";"ME";"2020-01-01";6.76;"2020"
"OC2221";"P_HTHAB";"MK";"2020-01-01";7.43;"2020"
"OC2221";"P_HTHAB";"MT";"2020-01-01";32.02;"2020"
"OC2221";"P_HTHAB";"NL";"2020-01-01";25.57;"2020"
"OC2221";"P_HTHAB";"NO";"2020-01-01";75.64;"2020"
"OC2221";"P_HTHAB";"PT";"2020-01-01";25.9;"2020"
"OC2221";"P_HTHAB";"RO";"2020-01-01";6.43;"2020"
"OC2221";"P_HTHAB";"RS";"2020-01-01";15.81;"2020"
"OC2221";"P_HTHAB";"SE";"2020-01-01";43.48;"2020"
"OC2221";"P_HTHAB";"TR";"2020-01-01";18.27;"2020"
"OC2221_3221";"HAB_P";"AT";"2020-01-01";2284.03;"2020"
"OC2221_3221";"HAB_P";"BE";"2020-01-01";2222.61;"2020"
"OC2221_3221";"HAB_P";"BG";"2020-01-01";14415.83;"2020"
"OC2221_3221";"HAB_P";"CH";"2020-01-01";893.78;"2020"
"OC2221_3221";"HAB_P";"CZ";"2020-01-01";3448.7;"2020"
"OC2221_3221";"HAB_P";"DE";"2020-01-01";2319.69;"2020"
"OC2221_3221";"HAB_P";"EE";"2020-01-01";3622.68;"2020"
"OC2221_3221";"HAB_P";"ES";"2020-01-01";4473.73;"2020"
"OC2221_3221";"HAB_P";"FI";"2020-01-01";1476.51;"2020"
"OC2221_3221";"HAB_P";"FR";"2020-01-01";2636.35;"2020"
"OC2221_3221";"HAB_P";"HU";"2020-01-01";1662.15;"2020"
"OC2221_3221";"HAB_P";"IE";"2020-01-01";3250.11;"2020"
"OC2221_3221";"HAB_P";"IT";"2020-01-01";5949.71;"2020"
"OC2221_3221";"HAB_P";"LT";"2020-01-01";3672.65;"2020"
"OC2221_3221";"HAB_P";"LU";"2020-01-01";9270.87;"2020"
"OC2221_3221";"HAB_P";"LV";"2020-01-01";3411.94;"2020"
"OC2221_3221";"HAB_P";"ME";"2020-01-01";14793;"2020"
