"pws";"sex";"staz";"kierunek"
"1";102;"M";"s";"RM"
"2";134;"K";"s";"RM"
"3";73;"M";"d";"RM"
"4";111;"K";"m";"RM"
"5";112;"K";"m";"RM"
"6";95;"M";"m";"RM"
"7";105;"M";"d";"RM"
"8";148;"K";"s";"RM"
"9";120;"M";"m";"RM"
"10";89;"M";"m";"RM"
"11";97;"M";"d";"RM"
"12";127;"K";"s";"RM"
"13";86;"M";"s";"RM"
"14";81;"M";"m";"RM"
"15";76;"M";"d";"RM"
"16";94;"M";"m";"RM"
"17";94;"M";"s";"RM"
"18";114;"M";"s";"RM"
"19";116;"K";"m";"RM"
"20";87;"M";"m";"RM"
"21";108;"M";"m";"RM"
"22";92;"M";"d";"RM"
"23";115;"K";"s";"RM"
"24";66;"M";"s";"RM"
"25";115;"M";"s";"RM"
"26";94;"M";"m";"RM"
"27";113;"M";"d";"RM"
"28";96;"M";"d";"RM"
"29";83;"M";"d";"RM"
"30";99;"K";"m";"RM"
"31";105;"M";"s";"RM"
"32";117;"M";"s";"RM"
"33";120;"M";"d";"RM"
"34";151;"M";"s";"RM"
"35";100;"M";"s";"RM"
"36";104;"M";"m";"RM"
"37";134;"M";"m";"RM"
"38";115;"K";"s";"RM"
"39";87;"M";"m";"RM"
"40";87;"M";"m";"RM"
"41";112;"M";"s";"RM"
"42";151;"M";"s";"RM"
"43";81;"M";"d";"RM"
"44";110;"M";"s";"RM"
"45";92;"M";"s";"RM"
"46";84;"M";"m";"RM"
"47";118;"M";"m";"RM"
"48";95;"M";"s";"RM"
"49";151;"M";"s";"RM"
"50";108;"M";"s";"RM"
"51";123;"M";"s";"RM"
"52";100;"M";"s";"RM"
"53";85;"M";"d";"RM"
"54";106;"K";"s";"RM"
"55";94;"K";"s";"RM"
"56";93;"M";"s";"RM"
"57";111;"M";"d";"RM"
"58";86;"M";"d";"RM"
"59";111;"M";"m";"RM"
"60";123;"M";"m";"RM"
"61";128;"K";"s";"RM"
"62";101;"M";"d";"RM"
"63";96;"K";"m";"RM"
"64";102;"M";"d";"RM"
"65";106;"M";"m";"RM"
"66";113;"M";"d";"RM"
"67";103;"M";"m";"RM"
"68";102;"M";"d";"RM"
"69";121;"K";"m";"RM"
"70";116;"M";"m";"RM"
"71";111;"M";"s";"RM"
"72";103;"K";"m";"RM"
"73";78;"M";"d";"RM"
"74";155;"K";"d";"RM"
"75";101;"M";"d";"RM"
"76";96;"M";"m";"RM"
"77";105;"K";"d";"PO"
"78";107;"K";"m";"PO"
"79";139;"K";"d";"PO"
"80";120;"K";"d";"PO"
"81";100;"K";"m";"PO"
"82";106;"K";"d";"PO"
"83";118;"K";"s";"PO"
"84";107;"K";"m";"PO"
"85";130;"K";"d";"PO"
"86";127;"K";"d";"PO"
"87";131;"K";"d";"PO"
"88";117;"K";"d";"PO"
"89";126;"K";"d";"PO"
"90";111;"K";"d";"PO"
"91";118;"K";"d";"PO"
"92";107;"K";"d";"PO"
"93";117;"K";"d";"PO"
"94";113;"K";"d";"PO"
"95";100;"K";"d";"PO"
"96";111;"K";"d";"PO"
"97";110;"K";"d";"PO"
"98";135;"K";"d";"PO"
"99";128;"K";"d";"PO"
